id,name,publisher,studio,created
22,contextually-based,"Nienow, Bashirian and Schmidt","Rempel, Hoeger and Macejkovic",2011-03-17T08:52:34Z
23,system engine,Armstrong and Sons,Schuster-Kessler,2019-01-24T22:26:56Z
24,leverage,"Kuhic, Kling and Sanford",Osinski Inc,2005-05-29T14:00:23Z
25,client-driven,"Corwin, Carter and Donnelly","Maggio, Murray and Ernser",2017-11-11T15:51:48Z
26,Distributed,Macejkovic LLC,"Zulauf, Simonis and Borer",2016-09-27T06:45:53Z
27,Centralized,Haag-Kris,Johns Inc,2000-12-17T15:00:56Z
28,next generation,Langosh-Schinner,Cormier Group,2000-03-12T16:07:58Z
29,contingency,"Kuhic, Kling and Krajcik","Medhurst, McLaughlin and Bruen",2011-02-19T02:53:05Z
30,Sharable,"Boyle, Cummerata and Reinger","Robel, Welch and Cassin",2000-02-22T06:34:00Z
31,Down-sized,Gusikowski LLC,"Braun, McCullough and O'Connell",2004-05-20T23:40:18Z
32,Public-key,"Klein, Beer and Heaney",Schmidt-Runolfsdottir,2011-10-07T20:00:54Z
33,neural-net,"Romaguera, Schiller and Pfannerstill",Mueller-Murphy,1999-09-23T06:50:05Z
34,ability,Maggio-Weimann,Kihn-Turcotte,2018-03-21T17:48:24Z
35,array,"Hagenes, Aufderhar and Okuneva",Paucek-Torp,2013-06-19T07:35:30Z
36,Adaptive,Schulist and Sons,"Reinger, Walsh and Dietrich",2017-07-27T23:28:49Z
37,bandwidth-monitored,"O'Reilly, Cummerata and Hammes","Cummerata, O'Reilly and Kohler",2006-10-11T20:08:28Z
38,coherent,Johnston LLC,Jast-Mills,2005-04-04T21:13:43Z
39,utilisation,Abernathy LLC,Bednar LLC,2015-01-30T04:18:50Z
40,capability,MacGyver and Sons,"Gottlieb, Crooks and Keeling",2016-07-27T21:09:48Z
41,bandwidth-monitored,"Prohaska, Walsh and Thompson",Pagac Inc,2001-11-17T02:19:12Z
42,Cross-group,Bogisich LLC,Boehm Inc,2018-09-27T19:50:22Z
43,definition,Murphy-Walker,Kozey Inc,2001-08-19T04:01:34Z
44,web-enabled,Marquardt and Sons,Osinski and Sons,2017-03-23T20:08:23Z
45,static,Fahey-Dach,"Lubowitz, Ryan and Schumm",2009-07-09T16:29:04Z
46,data-warehouse,"Moore, Rath and Kuhic","Brown, Wehner and Powlowski",2009-02-25T05:52:02Z
47,Down-sized,Franecki-Gulgowski,Quigley-Cummerata,2005-06-15T22:10:34Z
48,challenge,"Cruickshank, Hintz and Towne",Conroy and Sons,2000-12-29T00:28:44Z
49,Implemented,"Adams, Robel and Quigley",Satterfield-Predovic,2000-06-05T05:12:26Z
50,encryption,Smitham LLC,"Erdman, Moore and Ryan",2011-06-11T14:49:39Z
51,Extended,"Dickinson, Tremblay and Zieme",Bartell Inc,2012-07-23T19:43:52Z
52,encryption,Von-Stehr,Baumbach-Rath,2020-05-18T06:44:30Z
53,project,Runolfsdottir LLC,"Friesen, Lang and Bednar",2010-04-21T03:53:15Z
54,infrastructure,"Schiller, Heaney and Klein",DuBuque-O'Hara,2011-01-11T18:22:27Z
55,website,"Abbott, Schuster and Klocko",Leffler-Treutel,2003-03-17T01:08:11Z
56,Operative,Nicolas-Bosco,Hansen-Purdy,2002-07-11T00:09:07Z
57,collaboration,Dickens-Gerhold,"Powlowski, Hoeger and Hickle",2011-11-12T21:20:37Z
58,bandwidth-monitored,"Mraz, Dickens and Crooks","Jaskolski, Kiehn and Luettgen",2003-09-29T08:17:39Z
59,User-centric,Konopelski Group,"Lesch, Schowalter and Koelpin",2008-03-01T21:29:44Z
60,Re-engineered,Goldner LLC,"Ullrich, Yundt and Lesch",2017-02-11T06:26:23Z
61,benchmark,"Green, Kassulke and Windler",Kub-Hauck,2004-04-08T21:25:32Z
62,Right-sized,Price-Zboncak,Koelpin LLC,2013-02-03T14:42:14Z
63,empowering,Zieme LLC,"Wunsch, Pfeffer and Zieme",2020-12-06T18:47:55Z
64,multimedia,Hermiston-Konopelski,Balistreri and Sons,2001-10-10T13:49:16Z
65,Centralized,"Gleichner, Considine and Hansen",Quigley-Lesch,2020-12-12T00:55:43Z
66,Sharable,Berge LLC,Dietrich-Kozey,2019-07-23T16:25:36Z
67,cohesive,Stark and Sons,"Grimes, Koelpin and Sporer",2001-09-21T07:09:07Z
68,attitude-oriented,Friesen-Satterfield,Hessel-Howell,2001-10-30T23:30:00Z
69,Compatible,"Bruen, Cruickshank and Hickle",Collier-Cummerata,2013-11-19T15:04:15Z
70,contingency,"Kohler, Kautzer and Rodriguez","Champlin, Lowe and Daniel",2011-09-18T09:16:13Z
71,Universal,Schuster-Donnelly,Rath LLC,2014-05-18T07:40:58Z
72,Diverse,Lynch and Sons,Morar LLC,2017-10-08T18:33:24Z
73,Open-architected,Fahey Group,"Ziemann, Smitham and Kuhic",2005-01-31T22:59:48Z
74,firmware,Von-Brekke,"Barrows, Botsford and Schultz",2007-10-21T21:56:06Z
75,Synchronised,Dach LLC,Schaden LLC,2001-05-15T03:16:32Z
76,Implemented,Schuster-Runolfsson,"Douglas, Christiansen and Dietrich",2001-11-05T01:28:39Z
77,reciprocal,Shields Inc,Dach and Sons,2020-10-27T17:44:25Z
78,model,Bruen-Gibson,Goldner-Runolfsson,2018-04-20T13:33:24Z
79,logistical,"Gaylord, Wunsch and Paucek","Kunde, Cartwright and Wisozk",2016-03-22T22:11:00Z
80,Ameliorated,"Windler, Rosenbaum and Simonis",Considine-Dach,2012-05-02T13:58:52Z
81,reciprocal,Gottlieb-Ratke,Ritchie LLC,2001-05-16T11:51:46Z
82,5th generation,"Donnelly, Schulist and Jacobi","Koelpin, Huels and Dickens",2002-06-28T12:10:33Z
83,orchestration,Brakus-Feest,Satterfield Group,2003-03-23T02:51:59Z
84,Universal,Rempel-Zulauf,Cole Group,2018-06-22T13:29:26Z
85,modular,"Kilback, Feil and Schiller","Shields, Kihn and Wilkinson",2015-01-23T14:57:24Z
86,web-enabled,Bechtelar and Sons,"Welch, Sporer and Hoppe",2013-06-09T12:15:14Z
87,Customer-focused,Cruickshank Inc,Pollich-Pagac,2018-11-12T16:29:12Z
88,disintermediate,"Abbott, Donnelly and Rutherford","Boyer, Thiel and Nitzsche",2017-05-08T21:14:54Z
89,upward-trending,"Bosco, Jones and Weimann",Conn Inc,2003-10-03T00:19:20Z
90,Face to face,Romaguera Group,Bechtelar Group,2011-01-21T21:13:14Z
91,encoding,"Kiehn, Bogisich and Roob","Streich, Fay and Sawayn",2009-10-19T09:07:25Z
92,Self-enabling,"Hansen, Sanford and Hirthe",Shields LLC,2001-06-15T13:04:30Z
93,concept,Swaniawski-Brown,"McClure, Hilll and Zboncak",2015-06-08T00:54:21Z
94,infrastructure,VonRueden-Bradtke,Leuschke-Rath,2018-10-29T16:33:38Z
95,even-keeled,"Grimes, Bogan and Jones",Rohan LLC,2014-12-10T05:29:00Z
96,reciprocal,Price LLC,Gusikowski Group,2011-12-16T02:29:44Z
97,data-warehouse,"Schiller, Nikolaus and Sipes",Cummings-Stamm,2012-09-05T18:17:24Z
98,Centralized,Bruen-Prosacco,Hackett LLC,2012-05-27T23:24:38Z
99,executive,Gutmann-Lakin,"Witting, Pouros and Bruen",2020-01-31T07:25:41Z
100,stable,Bahringer-Jaskolski,"Barrows, Williamson and Boyle",2012-08-25T11:03:45Z
101,multi-tasking,"Farrell, Hilll and Williamson",Pollich Group,2000-07-24T03:23:41Z
102,Automated,Grimes-Luettgen,"Nicolas, Labadie and Simonis",2012-08-20T03:22:42Z
103,static,"Mohr, Flatley and Rosenbaum",McKenzie-Dickens,2012-02-26T21:16:38Z
104,Implemented,Quigley-Runolfsson,Kihn-Mraz,2014-10-27T08:03:53Z
105,empowering,Padberg-Leannon,Schimmel-Fay,2000-06-30T00:05:32Z
106,hybrid,"Kreiger, Grady and Bayer",Durgan-Kshlerin,2015-01-24T12:40:10Z
107,Synergistic,"Lesch, Mante and Fisher",Stehr and Sons,2002-04-21T01:20:49Z
108,archive,"Fisher, Reichel and Walsh",Gleichner LLC,2014-08-09T23:32:13Z
109,complexity,"Blanda, Lowe and Grimes",Rodriguez-Jerde,2001-12-19T10:28:52Z
110,Up-sized,"Pollich, Quigley and Gerlach",D'Amore-Leannon,2000-03-03T20:39:13Z
111,standardization,"Bednar, Luettgen and Luettgen",Raynor-Heller,2007-02-25T08:39:31Z
112,Diverse,Pollich and Sons,Ruecker LLC,2002-06-16T02:51:43Z
113,modular,Collier Inc,"Grady, Wisoky and Murray",2009-02-20T11:37:59Z
114,Public-key,Upton-Reynolds,"Herman, Borer and Sporer",2013-06-21T00:23:59Z
115,Integrated,"Hintz, Walker and Johnson",Wunsch-Collier,2020-11-10T22:37:49Z
116,client-driven,VonRueden Group,Daugherty-Abernathy,2017-02-15T15:36:46Z
117,Face to face,Price LLC,Ferry-McCullough,2020-12-18T19:45:44Z
118,zero administration,"Heidenreich, Halvorson and Homenick","Boyer, Towne and Johnson",2002-01-20T01:56:28Z
119,didactic,Ryan and Sons,Gaylord-Hane,2003-06-24T07:40:21Z
120,system-worthy,Lowe-Kessler,"Renner, Wyman and Cartwright",2009-04-12T15:28:57Z
121,client-server,Balistreri-Von,Mertz Group,2000-11-20T14:46:58Z
122,Customizable,Hilll-Treutel,Schroeder-Marvin,2008-04-20T11:57:22Z
123,multimedia,Yundt and Sons,"Predovic, Jenkins and Hane",2020-06-16T00:05:25Z
124,application,Bradtke-Hills,"Lebsack, Leffler and Wilderman",2013-08-23T22:35:36Z
125,matrix,"Schowalter, Hackett and Moen","Littel, Larkin and Hessel",2011-01-17T03:52:43Z
126,analyzing,Mertz LLC,Little and Sons,2017-11-19T17:59:16Z
127,Front-line,Gerhold-Stehr,"Moore, Kuhn and Bailey",2000-04-26T23:43:41Z
128,throughput,Dickinson-Kertzmann,Murphy-Dach,2010-07-29T10:13:33Z
129,mobile,Lubowitz-Dooley,"Ferry, Balistreri and Johns",2000-05-29T13:40:52Z
130,task-force,Macejkovic-Waelchi,O'Kon LLC,2000-07-15T00:51:19Z
131,holistic,Koelpin LLC,"Satterfield, Feil and Kassulke",2002-01-21T21:15:18Z
132,value-added,Bauch-Hayes,"O'Connell, Mante and Emmerich",2020-01-20T04:15:25Z
133,Intuitive,"Streich, Abernathy and Cassin",Cremin and Sons,2007-03-19T17:15:39Z
134,fault-tolerant,"Stehr, Mante and Bruen",Ankunding Group,2014-05-30T03:02:13Z
135,task-force,"Schneider, Langworth and Huel",Collier Group,2020-02-07T19:15:56Z
136,archive,Mills Group,"Waelchi, Toy and Kub",2002-08-02T09:48:30Z
137,Virtual,Barton-Breitenberg,"West, D'Amore and Towne",2020-04-15T10:13:49Z
138,Reduced,Hilpert and Sons,"Ondricka, Von and Aufderhar",2016-11-13T11:58:18Z
139,Up-sized,Marquardt-Howe,Murray Inc,2006-06-25T05:53:37Z
140,Networked,Legros-Jacobi,Mohr-Carroll,2020-01-08T20:50:09Z
141,composite,Bechtelar-Macejkovic,McDermott-Yundt,2017-02-17T04:30:46Z
142,heuristic,"Bailey, Bayer and Spencer","Grimes, Gerhold and Tromp",2008-11-28T22:09:32Z
143,Polarised,McCullough Group,"Walker, Prosacco and Will",2020-10-20T04:21:46Z
144,focus group,"Graham, Upton and Anderson",Wiegand-Brown,2005-02-25T03:52:43Z
145,Graphical User Interface,"Simonis, Stark and Grimes",Hagenes-Anderson,2020-11-07T18:41:35Z
146,superstructure,"Crooks, Hudson and Emmerich","Nolan, Leuschke and Hermann",2018-08-02T05:47:13Z
147,Centralized,Quitzon-Carter,"Ernser, Quitzon and Stehr",2001-01-19T07:27:40Z
148,5th generation,"Hodkiewicz, Schroeder and Stokes",Schinner-Hartmann,2017-09-04T11:49:36Z
149,Open-source,Wunsch-Franecki,"Kassulke, Schimmel and Dibbert",2015-03-13T00:30:20Z
150,model,Weimann-Klocko,"Doyle, McCullough and Hauck",2016-01-14T22:04:56Z
151,complexity,Cormier Inc,Fisher-Lueilwitz,2001-08-17T07:54:03Z
152,system-worthy,Towne Group,Dooley Inc,2008-11-13T12:51:21Z
153,Inverse,"Dach, Wuckert and Nader",Schinner Group,2006-05-23T00:03:09Z
154,Streamlined,"Nienow, Roob and Rowe","Pfeffer, Shanahan and Morissette",2017-10-14T08:52:08Z
155,hierarchy,Robel and Sons,Konopelski-Hauck,2006-02-23T12:28:38Z
156,Upgradable,Pfannerstill-Homenick,Bernhard Group,2019-01-09T19:41:48Z
157,De-engineered,"Armstrong, Parker and Wilderman","Zieme, Leuschke and Paucek",2000-07-15T06:26:12Z
158,Horizontal,Ortiz-Bechtelar,Conn-Gorczany,2001-03-09T01:36:52Z
159,Open-architected,Schowalter Inc,"Goodwin, Marks and Doyle",2013-09-27T23:12:00Z
160,stable,Bernhard Group,Beer and Sons,2012-08-17T02:20:04Z
161,Multi-channelled,"Kuhic, Schumm and Kuvalis","Kilback, Walker and Padberg",2003-11-21T05:17:44Z
162,Advanced,Yost and Sons,Maggio-Marks,2006-04-14T12:26:50Z
163,instruction set,"McKenzie, Grimes and Cruickshank",O'Conner and Sons,2018-06-03T11:02:04Z
164,Optional,Monahan-Orn,Fay and Sons,2007-11-27T14:45:07Z
165,maximized,Bauch-Brakus,Haley and Sons,2009-05-29T23:52:47Z
166,Decentralized,Zieme Group,Hahn-Reinger,2004-05-01T13:47:25Z
167,bandwidth-monitored,Gusikowski Group,Metz-McLaughlin,2017-08-23T23:10:40Z
168,Vision-oriented,Shanahan Inc,Jacobs Group,2015-09-21T10:25:55Z
169,Fundamental,Schroeder-Stiedemann,Kuvalis LLC,2003-12-11T11:59:30Z
170,zero administration,Bednar LLC,"Toy, Sawayn and Littel",2016-06-19T15:02:08Z
171,task-force,Hagenes LLC,"Armstrong, Cruickshank and Kub",2002-06-18T21:06:06Z
172,function,Goodwin-Jacobson,"West, Kautzer and Watsica",2003-11-07T04:21:52Z
173,groupware,Kuhn-Parker,Sawayn and Sons,2003-10-15T05:40:22Z
174,static,Donnelly LLC,"Hansen, Stamm and Hudson",2019-12-26T14:34:36Z
175,Advanced,Corkery-Tillman,Welch Inc,2013-02-11T11:44:23Z
176,5th generation,"Reichert, Homenick and Larson","Kessler, MacGyver and Schneider",2001-02-14T17:23:01Z
177,Distributed,Sawayn Group,Block LLC,2019-12-17T02:35:12Z
178,encompassing,Zboncak Inc,Tillman LLC,2016-05-26T11:17:44Z
179,Multi-layered,"Dibbert, Kilback and Klein",Schulist and Sons,2011-09-12T08:28:25Z
180,full-range,"Franecki, Bruen and Goldner","Moen, McClure and Lakin",2000-05-23T14:00:29Z
181,alliance,Schulist-Lesch,Hamill-Lind,2020-01-11T18:22:36Z
182,Organic,Toy-Bernier,Klocko-Littel,2003-06-12T03:26:21Z
183,toolset,Roberts Inc,Cole-Nikolaus,2021-02-16T03:57:01Z
184,info-mediaries,"Monahan, Stokes and Herman","Bosco, Lebsack and Ferry",2019-05-06T00:30:17Z
185,Public-key,Klocko LLC,Grady-Stroman,2001-11-21T08:52:06Z
186,scalable,Rohan-Lynch,Kutch-Labadie,2019-03-29T12:43:31Z
187,Cloned,Jacobson-Ernser,"Herzog, Mayert and Donnelly",2017-04-20T09:48:50Z
188,systemic,"Kuhic, Baumbach and Heller",Aufderhar Group,2016-04-09T17:39:55Z
189,core,"Grimes, Mante and Kohler","Gulgowski, Kling and Schultz",2010-11-13T06:01:08Z
190,global,Howell-Runolfsson,Mueller and Sons,2011-12-13T19:17:44Z
191,Programmable,"Rosenbaum, Gusikowski and Hills",Reinger Group,2020-05-31T04:43:24Z
192,Operative,West LLC,"Strosin, Schmidt and Von",2010-10-08T20:05:44Z
193,zero tolerance,Quigley Inc,"Block, Purdy and Ebert",2019-07-06T19:09:08Z
194,Automated,Toy-Waters,Jacobs Group,2009-09-02T03:12:35Z
195,Team-oriented,Stoltenberg-Stokes,Kulas-Sporer,2007-08-17T17:02:47Z
196,service-desk,Block-Leffler,Davis-Sporer,2010-09-17T14:33:15Z
197,portal,Wuckert-Konopelski,Powlowski and Sons,2014-12-07T09:53:26Z
198,algorithm,"Windler, Jones and Kozey",Larson-Mante,2007-07-18T13:44:30Z
199,logistical,Bartoletti-Bednar,Bernhard-Sanford,2007-11-21T02:53:33Z
200,architecture,Fadel-Casper,Bergnaum-Orn,2017-05-13T12:45:45Z
201,maximized,"Walker, Renner and Carroll",Gibson-Kunze,2002-04-18T13:42:14Z
202,foreground,Schaden Group,Ondricka-Carter,2016-08-30T23:55:51Z
203,secured line,"Moen, Mertz and Kemmer",Goyette LLC,1999-06-30T12:27:38Z
204,circuit,Steuber LLC,Waters-Wilkinson,2013-10-13T09:04:23Z
205,uniform,"Lynch, Schmitt and Ward","Feest, Hamill and Frami",2015-02-19T02:17:52Z
206,service-desk,Tillman LLC,Kshlerin and Sons,1999-05-31T01:55:46Z
207,Advanced,Morissette Group,"Gottlieb, Heidenreich and Schroeder",2015-03-31T11:17:47Z
208,heuristic,"King, Hickle and Romaguera",Stiedemann-Emmerich,2003-12-14T09:09:54Z
209,knowledge user,"Spinka, Shanahan and Dooley","Predovic, Barrows and Labadie",2010-07-21T12:39:46Z
210,Digitized,Becker-Erdman,Johnson and Sons,2012-07-11T18:36:54Z
211,interactive,Baumbach-Von,Cormier and Sons,1999-06-06T22:43:27Z
212,encoding,"Kerluke, Ebert and O'Reilly",Watsica Group,2006-07-11T19:45:44Z
213,Organized,"Ullrich, Zemlak and Bernhard","Ondricka, Bergnaum and Haley",2007-11-03T13:41:56Z
214,extranet,Feil-Kuhic,Dooley Inc,2006-10-02T04:45:39Z
215,disintermediate,"Thompson, Nolan and Grant","Funk, Cruickshank and Cummings",2009-06-24T01:06:10Z
216,reciprocal,Berge and Sons,Lindgren-Pfeffer,2007-02-28T02:07:52Z
217,ability,Gutmann-Hyatt,Willms Group,2013-10-05T15:25:05Z
218,Robust,"Little, Cruickshank and Feil",Gutmann and Sons,2006-08-08T16:02:34Z
219,Cross-platform,Douglas and Sons,Halvorson Group,2007-08-27T01:56:55Z
220,Polarised,Yundt-Abernathy,Hartmann LLC,2017-06-14T10:54:17Z
221,definition,"Watsica, Ortiz and Russel","Muller, Casper and Beier",2003-02-04T12:27:50Z
222,parallelism,"Gorczany, Maggio and Nader",Hyatt-O'Reilly,2004-11-05T02:01:15Z
223,Ameliorated,Ritchie-Hermann,Prosacco-Von,2020-12-25T09:13:40Z
224,frame,Brown-Fadel,Walsh-Walker,2000-12-08T22:39:44Z
225,Face to face,"Feest, Yost and Bins","Stark, Koch and Wiegand",2013-09-24T19:34:37Z
226,software,"Monahan, Schamberger and Okuneva","Schimmel, Feeney and Erdman",2005-02-12T14:22:44Z
227,Centralized,Hoppe LLC,Schaden-Ortiz,2011-10-14T17:54:38Z
228,Vision-oriented,Howell LLC,Terry Group,2004-06-16T06:19:06Z
229,optimizing,Veum-Leuschke,"Johns, Brakus and Ritchie",2012-12-06T01:49:05Z
230,24/7,"Gaylord, Stehr and Franecki",Runolfsdottir and Sons,2014-06-04T09:42:25Z
231,Function-based,"Lesch, Mertz and Schumm","O'Keefe, Hintz and Kshlerin",1999-06-01T18:24:18Z
232,Reduced,"Jenkins, Mayer and Champlin","Stanton, Ankunding and West",1999-11-28T21:15:00Z
233,maximized,O'Connell Inc,"Nicolas, Bergstrom and Hudson",2013-09-06T08:18:14Z
234,needs-based,Schuppe Group,Runolfsson and Sons,2005-08-20T22:43:17Z
235,Managed,"Macejkovic, Sauer and Kuhic",Ernser Group,2010-02-23T00:08:56Z
236,Grass-roots,Botsford-Blick,Aufderhar Inc,2017-12-04T01:37:47Z
237,upward-trending,Littel Group,Considine Group,2002-01-15T23:12:35Z
238,Advanced,Nader LLC,"Hudson, Cassin and Gibson",2012-05-28T09:49:49Z
239,Adaptive,Kling-Auer,Hirthe-Beer,2016-08-11T05:56:10Z
240,Universal,Cronin and Sons,Frami and Sons,2012-11-21T10:36:42Z
241,national,"White, Lynch and Ruecker","Kiehn, Bode and Kuhlman",2016-07-13T01:32:01Z
242,synergy,Brekke-Anderson,Schulist-Bechtelar,2000-09-26T20:11:50Z
243,secured line,"Wintheiser, Miller and Balistreri",Casper Inc,2020-02-28T05:01:57Z
244,Graphical User Interface,Gottlieb-Zieme,Brekke Inc,2003-01-29T09:56:44Z
245,Multi-layered,"Prohaska, Breitenberg and Berge",Graham and Sons,2012-01-14T17:04:59Z
246,dedicated,Erdman Group,Bergnaum LLC,2018-11-24T12:56:49Z
247,solution,White-Deckow,Lueilwitz Group,2003-02-09T00:54:37Z
248,service-desk,VonRueden-Schmitt,Ziemann Inc,2020-01-26T01:02:36Z
249,solution,"Pacocha, Goodwin and Feest",Krajcik-Turcotte,2020-07-13T10:02:45Z
250,adapter,"Schamberger, Stracke and Haley","McCullough, Schmidt and Tillman",2004-01-29T07:15:15Z
251,definition,Grady Group,Kunde Inc,2016-11-10T10:06:07Z
252,Enhanced,Halvorson and Sons,"Corkery, Carroll and Marquardt",2007-05-07T10:24:09Z
253,circuit,Wolf Inc,Gutmann-Blanda,2008-03-04T07:41:09Z
254,Progressive,"Borer, Murazik and Corwin",Gorczany-Marquardt,2014-12-09T07:32:28Z
255,approach,Hickle-Hyatt,Feeney Group,2017-02-01T00:39:49Z
256,global,Pfeffer-Collier,"O'Reilly, Cartwright and Bruen",2003-06-30T17:19:34Z
257,fault-tolerant,Green Group,Gleason-Ruecker,2000-03-18T12:38:43Z
258,toolset,Gottlieb Group,Turner-Yundt,2007-03-02T13:46:49Z
259,multi-state,"MacGyver, Rogahn and Windler","Veum, Rohan and Lockman",2001-12-01T02:47:04Z
260,dedicated,Abshire Inc,Rippin-Howell,2019-12-24T14:34:18Z
261,Cloned,Gibson Group,"Purdy, Mueller and McKenzie",2015-08-21T09:01:33Z
262,hub,Schuppe-Beahan,Rippin-Bailey,2018-06-21T13:08:32Z
263,Integrated,"Mayert, Nitzsche and Becker","Barrows, Satterfield and Mertz",2007-08-03T12:49:14Z
264,Re-contextualized,Nikolaus-Kling,Gibson-Conn,2008-02-05T22:17:10Z
265,Synchronised,Hand Inc,"Murazik, Bednar and Simonis",2006-11-08T04:50:02Z
266,Expanded,"Jacobs, Moore and Runolfsson",Shields-Keeling,2019-03-02T02:48:18Z
267,zero defect,"Zieme, Goldner and Cruickshank","Prohaska, Ward and Eichmann",2009-08-03T21:26:09Z
268,Diverse,Treutel-Kemmer,Dickens-Hintz,2012-03-05T20:37:23Z
269,secondary,"Howe, Price and Deckow",Morar LLC,2003-02-24T22:39:49Z
270,pricing structure,Runte Inc,Ankunding and Sons,2010-03-29T08:54:22Z
271,open system,Stoltenberg LLC,Franecki and Sons,2004-09-21T15:37:36Z
272,pricing structure,Howell and Sons,Waters Group,2004-08-23T23:39:06Z
273,extranet,"Wunsch, Gerhold and Greenfelder",Friesen and Sons,2014-01-07T11:09:38Z
274,client-driven,Klein-Halvorson,Champlin-Streich,2001-12-22T23:36:28Z
275,framework,Nitzsche-Ullrich,"Bayer, Kirlin and Koelpin",2009-02-07T15:55:59Z
276,Expanded,"Hayes, Krajcik and Bechtelar",Ferry and Sons,2016-04-27T21:00:19Z
277,analyzing,"Tromp, Nicolas and Batz",Funk-O'Keefe,2012-02-15T11:44:16Z
278,adapter,Bosco-Roob,"Jerde, Hirthe and Ondricka",2015-08-06T00:16:55Z
279,Reduced,Cassin and Sons,"Cremin, Schoen and Sawayn",2012-04-05T04:50:52Z
280,Advanced,"Auer, Hirthe and Shields","Wolff, Murazik and Effertz",2005-07-18T11:35:50Z
281,content-based,Larkin and Sons,Toy LLC,2019-08-21T04:40:21Z
282,encompassing,Brekke Inc,"Weissnat, Ruecker and Sipes",2012-02-14T13:49:09Z
283,Object-based,Dach LLC,Senger-Rodriguez,2018-07-19T21:58:14Z
284,Synergized,"Graham, Sporer and Lueilwitz","Reichel, Predovic and Yost",1999-11-16T02:22:01Z
285,model,"Murray, Terry and Abshire",Gaylord LLC,2018-02-01T18:45:09Z
286,neutral,"Mayer, Cummings and Will","Leffler, Reilly and Labadie",2005-02-04T01:01:37Z
287,utilisation,Adams Inc,"Hoppe, Kunde and Rau",2005-06-02T16:06:12Z
288,structure,"Vandervort, Treutel and Douglas","Swaniawski, Lubowitz and Kovacek",2004-09-24T22:58:16Z
289,service-desk,Price and Sons,"Moore, Harber and Cormier",2016-05-15T03:21:16Z
290,local,Nader-Mueller,Satterfield-Wolff,2011-10-28T13:48:28Z
291,Persistent,Ratke-Rice,"Auer, Abbott and Gusikowski",2013-08-17T21:08:15Z
292,Enhanced,"Bruen, Schmeler and Bosco","Ratke, Willms and Keebler",2019-12-23T02:01:33Z
293,info-mediaries,"Pfannerstill, Bailey and O'Reilly",Hessel Inc,2015-09-20T11:44:30Z
294,clear-thinking,Crooks Inc,Bosco-Watsica,2000-02-25T18:20:38Z
295,process improvement,Wuckert-Schmeler,Murray Group,2003-03-12T12:58:47Z
296,knowledge user,Gusikowski-Schroeder,Schinner Inc,2003-06-13T05:53:16Z
297,framework,Carroll and Sons,Zboncak Group,2016-07-27T12:35:47Z
298,Triple-buffered,Paucek Inc,Gutkowski Group,2004-12-22T00:44:40Z
299,definition,Schulist Inc,Bailey-Simonis,2003-07-31T07:06:25Z
300,framework,Tremblay-Hand,Swaniawski-Schmeler,2013-07-07T12:01:42Z
301,solution,Witting-Cassin,"Kilback, Labadie and Luettgen",2013-04-22T11:25:10Z
302,Pre-emptive,Parker Inc,Volkman Inc,2012-12-19T09:42:54Z
303,bi-directional,Jakubowski-Schinner,Kessler-Wuckert,2017-03-11T15:07:00Z
304,Multi-tiered,"Torp, Farrell and Feest",Schmeler-Bernier,2001-08-01T12:01:38Z
305,Visionary,"Turner, Klocko and Kub","Pagac, Smith and Gislason",2017-10-13T20:22:32Z
306,Operative,Spinka-MacGyver,"Koss, Satterfield and Schneider",2003-12-10T07:07:25Z
